computed_at,league,rating
2024-10-17 18:02:29,england_premier_league,1.4128359412577263
2024-10-17 18:02:29,spain_la_liga,1.2362931173606426
2024-10-17 18:02:29,germany_bundesliga,1.0913212075321157
2024-10-17 18:02:29,italy_serie_a,1.0347442692929114
2024-10-17 18:02:29,france_ligue_1,0.7975656208224376
2024-10-17 18:02:29,netherlands_eredivisie,0.6429571465052815
2024-10-17 18:02:29,portugal_liga_nos,0.5824282873263986
2024-10-17 18:02:29,england_championship,0.2958586947984828
2024-10-17 18:02:29,greece_super_league,0.26656497419376507
2024-10-17 18:02:29,austria_bundesliga,0.21922898538586075
2024-10-17 18:02:29,denmark_superliga,0.18081685128515262
2024-10-17 18:02:29,belgium_pro_league,0.17681785840392011
2024-10-17 18:02:29,turkey_s_per_lig,0.17244329423536398
2024-10-17 18:02:29,croatia_prva_hnl,0.09616867585969445
2024-10-17 18:02:29,ukraine_ukrainian_premier_league,0.09087562986894795
2024-10-17 18:02:29,switzerland_super_league,-0.028316398202881232
2024-10-17 18:02:29,czech_republic_first_league,-0.03748637010549072
2024-10-17 18:02:29,scotland_premiership,-0.1345876087381388
2024-10-17 18:02:29,england_efl_league_one,-0.19078379103769358
2024-10-17 18:02:29,azerbaijan_premyer_liqas,-0.1926203253580373
2024-10-17 18:02:29,serbia_superliga,-0.22329173621750337
2024-10-17 18:02:29,romania_liga_i,-0.22783872338710676
2024-10-17 18:02:29,poland_ekstraklasa,-0.2793970267367563
2024-10-17 18:02:29,bulgaria_first_league,-0.3179759079108893
2024-10-17 18:02:29,hungarionb_i,-0.42883774689220866
2024-10-17 18:02:29,england_efl_league_two,-0.5711256662945148
2024-10-17 18:02:29,slovakia_super_liga,-0.5775748034874564
2024-10-17 18:02:29,moldova_moldovaionational_division,-0.7401619829019639
2024-10-17 18:02:29,albania_superliga,-1.1746333729356602
2024-10-17 18:02:29,armenia_armenian_premier_league,-1.2434513470301252
2024-10-17 18:02:29,netherlands_eerste_divisie,-1.9288377468922175
